,guuid,source,sampleid,plate_code
241,1d1eb0db-fc40-42b2-8432-51e10645cece,OXFORD,L40277,OX274_Ecol
242,1d272145-4d1f-417e-b67a-39b60e1e815b,OXFORD,L93639,OX280_Ecol
244,1d8bd4ba-914b-426d-994f-33de06bce224,OXFORD,L5604,OX291_Ecol
245,1d9542b2-cf4a-4d6e-9851-ed7dd38d0126,OXFORD,L23827,OX1366_Ecol_Oxf_BLC
247,1dd0edac-6e9a-4531-b59f-2d45fb69cdd8,APHA,MSG15-C11,OX405_Ecol
248,1dfe35c6-2967-4baf-b8af-0c2958dc841b,APHA,MSG51-C06,OX410_Ecol
249,1e20a206-4cc3-43b7-b8a4-3cdf3528fff7,OXFORD,H6022,OX320_Kpne
250,1e2d6faf-7483-4545-b31c-145cb7941d73,OXFORD,L86212,OX1364_Ecol_Oxf_BLC
251,1e3d9e36-081c-4322-8862-a90120d98efd,OXFORD,L25357,OX274_Ecol
252,1e430ae7-5509-4f99-8de1-1b2a0d898e23,OXFORD,L10097,OX1365_Ecol_Oxf_BLC
253,1e87c34e-1ce7-4b4f-ae1b-96130cff8405,HICF,HICF830,OX58_MIXED
255,1f26c96d-3be5-4166-899f-979bd3ee9599,APHA,MSG09-C01,OX405_Ecol
256,1f2df0b9-6e98-4c96-90c0-6d92da0ae1b9,APHA,MSG05-C15,OX405_Ecol
257,1f850b95-0ae7-42c3-af06-9b1131690dde,OXFORD,L77935,OX1364_Ecol_Oxf_BLC
258,1fb6e2be-bd63-480b-8b28-1898928b5d1d,OXFORD,L73469,OX289_Ecol
259,1fe357c9-d0b9-4441-866f-c1f1ea22b8c1,HICF,HICF659,OX32_Ecol
260,1fe72f2c-755c-4349-96b1-a9b0e8dc8374,APHA,MSG30-C18,OX407_Ecol
261,1fec59fa-9760-422d-afb8-0317218e75e7,OXFORD,L61523,OX1364_Ecol_Oxf_BLC
262,1ff45b3f-687d-4f2a-a83a-9065b0a07e0d,OXFORD,L15542,OX291_Ecol
264,2000e054-0287-4fc4-8eb1-2b1c9236338a,OXFORD,L27104,OX290_Ecol
265,2016c385-2251-4d52-8add-5b9419170183,OXFORD,L16609,OX319_Ecol
266,204c442e-7525-443d-b428-359ebc8aff0b,OXFORD,L25057,OX290_Ecol
267,205d7787-f391-4322-8198-28e854ad64b7,HICF,HICF648,OX32_Ecol
270,206c45d1-3a9e-4382-98e9-8aaaa3e24bc4,HICF,HICF834,OX58_MIXED
271,20728cdb-7599-4c20-8aaa-9788572a8d82,OXFORD,L22155,OX290_Ecol
272,2094c45a-ad91-4ef9-b423-45c7507869bf,OXFORD,L69422,OX1364_Ecol_Oxf_BLC
273,20b956a0-616b-4b15-b8a8-f8800b7c7a2c,OXFORD,L58189,OX1364_Ecol_Oxf_BLC
275,20e56104-98f3-4827-87c8-9d07cd40d36f,OXFORD,F61562,OX1366_Ecol_Oxf_BLC
276,20e632fc-94b0-4f0d-a1d8-7d3258a689c2,APHA,MSG49-C17,OX410_Ecol
279,21308d99-d08c-4f78-b815-948fb3824371,OXFORD,F10831,OX300_Ecol
280,2190e4dd-5d2f-4c97-9fed-92607247fd90,OXFORD,L78043,OX289_Ecol
281,21b78f6c-0276-4095-8534-9134f881f6c8,HICF,HICF835,OX58_MIXED
282,21c5c58a-f31a-4936-a500-2dcb6f03d39c,OXFORD,L29408,OX1366_Ecol_Oxf_BLC
283,21ecbb04-0769-4b63-8e9f-cc8a9e368e83,APHA,MSG30-C09,OX407_Ecol
284,21f5d23a-7554-46cd-8e5b-3730ea1a38e2,OXFORD,L43712,OX299_Ecol
285,2209722f-1095-4952-8131-b6f08869b9f9,OXFORD,L71058,OX289_Ecol
286,225d3d2f-0848-4b41-88ad-96a6f650703c,HICF,HICF841,OX58_MIXED
287,22638f23-c777-4d18-ba68-eaf3bfbfa065,OXFORD,L25054,OX1366_Ecol_Oxf_BLC
288,229782e2-7662-4e75-a2f9-1a3f12f7988b,OXFORD,L47008,OX291_Ecol
290,22abaadf-72e8-4482-bce3-bde45ddb1550,HICF,HICF868,OX58_MIXED
291,231066cc-6eef-4d84-ad83-e47237c54599,OXFORD,L12693,OX319_Ecol
