trg_pattern,abx,number_of_isolates,method_agreement,overall_agreement
aph(3'')-Ib_2_AF024602:aph(3'')-Ib_5_AF321551|1:0|0:1|0:1|1:0,ami,1,1:2:2:1,False
sul2_2_AY034138:sul2_3_HQ840942|0:1|1:0|0:1|0:1,sul,2,1:2:1:1,False
blaTEM-126_1_AY628199:blaTEM-135_1_GQ896333:blaTEM-1B_1_AY458016|0:0:1|1:0:0|0:1:0|0:1:0,blm,3,1:2:3:3,False
blaCMY-114_1_KM087846:blaCMY-42_1_HM146927:blaDHA-1_1_Y16410|0:1:1|0:1:0|0:1:1|1:1:0,blm,1,1:2:1:3,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:aadA5_1_AF137361:ant(3'')-Ia_1_X02340|0:0:0:0:0:1:1|0:0:1:0:0:1:0|0:0:0:0:0:1:1|1:1:0:1:1:1:0,ami,1,1:2:1:3,False
blaCTX-M-14b_1_DQ359215|1|1|1|1,blm,11,1:1:1:1,True
blaOXA-244_1_KP659189|1|1|1|1,blm,4,1:1:1:1,True
aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:0:1|0:1:0:0:1:0:0|0:0:0:0:0:0:1|1:0:1:1:0:1:1,ami,1,1:2:1:3,False
blaCMY-4_1_LNHZ01000079:blaCMY-81_1_JQ733578|1:0|1:0|1:0|1:1,blm,1,1:1:1:2,False
aadA11_2_AJ567827:aadA12_1_AY665771:aadA23_1_AJ809407:aadA2_1_NC_010870:aadA2_2_JQ364967:aadA5_1_AF137361|0:0:0:1:0:1|0:0:0:0:1:1|0:0:0:0:1:1|1:1:1:0:1:1,ami,1,1:2:2:3,False
aph(3')-VI_1_KC170992|1|1|1|1,ami,1,1:1:1:1,True
aadA11_2_AJ567827:aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:0:1|0:0:0:1:0:0|0:0:0:0:0:1|1:1:1:1:1:0,ami,11,1:2:1:3,False
aph(6)-Id_4_CP000971:aph(6)-Id_1_M28829|0:1|1:0|1:0|1:0,ami,7,1:2:2:2,False
blaTEM-1B_1_AY458016|0|0|0|1,blm,3,1:1:1:2,False
dfrA17_1_FJ460238|0|1|0|1,tri,2,1:2:1:2,False
dfrA14_4_AF393510:dfrA14_5_DQ388123:dfrA30_1_AM997279:dfrA5_1_X12868|0:1:0:1|1:0:0:1|1:0:0:1|0:1:1:1,tri,1,1:2:2:3,False
aadA5_1_AF137361:ant(3'')-Ia_1_X02340|1:0|1:0|1:1|1:0,ami,3,1:1:2:1,False
aadA12_1_AY665771:aadA17_1_FJ460181:aadA1_2_FJ591054:aadA24_1_AM711129:ant(3'')-Ia_1_X02340|0:0:0:0:1|0:0:0:1:0|0:0:0:0:1|1:1:1:1:0,ami,1,1:2:1:3,False
