isolate,pattern,agreement
a49fc1b9-58aa-4c6a-b48a-ccf6daede7ef,dfrA14_1_KF921535:dfrA14_5_DQ388123,False
8589e647-e84b-4f78-b075-5b436fddc7a6,blaLEN12_1_AJ635406:blaSHV-100_1_AM941846:blaSHV-153_1_JX121120:blaSHV-1_1_AF148850:blaSHV-48_1_AY263404,False
8589e647-e84b-4f78-b075-5b436fddc7a6,aadA11_2_AJ567827:aadA15_1_DQ393783:aadA17_1_FJ460181:aadA1_3_JQ414041:aadA1_5_JX185132:aadA24_1_AM711129:ant(3'')-Ia_1_X02340,False
8589e647-e84b-4f78-b075-5b436fddc7a6,sul1_2_U12338:sul1_5_EU780013,False
59e792c9-73db-426e-9ee0-fc63ccc700af,blaCTX-M-15_1_AY044436,True
59e792c9-73db-426e-9ee0-fc63ccc700af,blaNDM-7_1_JX262694,True
59e792c9-73db-426e-9ee0-fc63ccc700af,blaOXA-1_1_HQ170510,True
59e792c9-73db-426e-9ee0-fc63ccc700af,aac(6')-Ib-cr_1_DQ303918,True
59e792c9-73db-426e-9ee0-fc63ccc700af,aac(3)-IIa_1_X51534:aac(3)-IIe_1_EU022315,False
59e792c9-73db-426e-9ee0-fc63ccc700af,aadA5_1_AF137361,True
59e792c9-73db-426e-9ee0-fc63ccc700af,sul1_2_U12338:sul1_5_EU780013,False
59e792c9-73db-426e-9ee0-fc63ccc700af,dfrA17_1_FJ460238,True
caa84882-f0cb-4dbb-8c0e-29a6fbe139f6,qnrS1_1_AB187515:qnrS6_1_HQ631376,False
caa84882-f0cb-4dbb-8c0e-29a6fbe139f6,aac(3)-IV_1_DQ241380:aac(3)-IVa_1_X01385,False
caa84882-f0cb-4dbb-8c0e-29a6fbe139f6,aadA11_2_AJ567827:aadA13_1_AY713504:aadA15_1_DQ393783:aadA1_5_JX185132:aadA24_1_AM711129:aadA2_1_NC_010870:aadA2b_1_D43625:ant(3'')-Ia_1_X02340,False
caa84882-f0cb-4dbb-8c0e-29a6fbe139f6,aph(3'')-Ib_5_AF321551,True
